Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","3","Albania","6119","Value US$","22014","Gross Domestic Product per capita","2017","2017","","4445.132198","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6107","Value US$, 2010 prices","22014","Gross Domestic Product per capita","2017","2017","","4773.659501","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6185","Value US$, 2015 prices","22014","Gross Domestic Product per capita","2017","2017","","4168.310026","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6171","Annual growth, US$, 2010 prices","22014","Gross Domestic Product per capita","2017","2017","%","3.705315","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6109","Value Local Currency","22011","Gross National Income","2013","2013","millions","1373333.912366","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6110","Value US$","22011","Gross National Income","2013","2013","millions","12996.604091","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6109","Value Local Currency","22011","Gross National Income","2017","2017","millions","1555067.193387","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6110","Value US$","22011","Gross National Income","2017","2017","millions","13056.855967","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","3","Albania","6119","Value US$","22039","Gross National Income per capita","2013","2013","","4452.450169","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6119","Value US$","22039","Gross National Income per capita","2017","2017","","4455.980443","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6109","Value Local Currency","22008","Gross Domestic Product","2013","2013","millions","16647919","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6110","Value US$","22008","Gross Domestic Product","2013","2013","millions","209755.003251","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6166","Value Local Currency, 2010 prices","22008","Gross Domestic Product","2013","2013","millions","13116104.16","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6183","Value Local Currency, 2015 prices","22008","Gross Domestic Product","2013","2013","millions","15526367.746","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6167","Value US$, 2010 prices","22008","Gross Domestic Product","2013","2013","millions","176324.9415","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2013","2013","millions","154197.504515","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6155","Annual growth Local Currency","22008","Gross Domestic Product","2013","2013","%","2.704082","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6170","Annual growth, Local Currency, 2010 prices","22008","Gross Domestic Product","2013","2013","%","2.800001","FC","Calculated data",""
"MK","Macro Indicators","4","Algeria","6181","Annual growth, Local Currency, 2015 prices","22008","Gross Domestic Product","2013","2013","%","2.800001","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6129","Annual growth US$","22008","Gross Domestic Product","2013","2013","%","0.332882","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6171","Annual growth, US$, 2010 prices","22008","Gross Domestic Product","2013","2013","%","2.800001","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6182","Annual growth, US$, 2015 prices","22008","Gross Domestic Product","2013","2013","%","2.800001","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6109","Value Local Currency","22008","Gross Domestic Product","2017","2017","millions","18575761.1","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6110","Value US$","22008","Gross Domestic Product","2017","2017","millions","167389.890425","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6166","Value Local Currency, 2010 prices","22008","Gross Domestic Product","2017","2017","millions","14774017.839","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6183","Value Local Currency, 2015 prices","22008","Gross Domestic Product","2017","2017","millions","17471698.265966","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6167","Value US$, 2010 prices","22008","Gross Domestic Product","2017","2017","millions","198612.92649","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2017","2017","millions","173517.226715","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6155","Annual growth Local Currency","22008","Gross Domestic Product","2017","2017","%","6.058512","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6170","Annual growth, Local Currency, 2010 prices","22008","Gross Domestic Product","2017","2017","%","1.4","FC","Calculated data",""
"MK","Macro Indicators","4","Algeria","6181","Annual growth, Local Currency, 2015 prices","22008","Gross Domestic Product","2017","2017","%","1.3","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6129","Annual growth US$","22008","Gross Domestic Product","2017","2017","%","4.596316","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6171","Annual growth, US$, 2010 prices","22008","Gross Domestic Product","2017","2017","%","1.4","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6182","Annual growth, US$, 2015 prices","22008","Gross Domestic Product","2017","2017","%","1.3","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6119","Value US$","22014","Gross Domestic Product per capita","2013","2013","","5471.123389","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6107","Value US$, 2010 prices","22014","Gross Domestic Product per capita","2013","2013","","4599.153758","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6185","Value US$, 2015 prices","22014","Gross Domestic Product per capita","2013","2013","","4021.994996","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6171","Annual growth, US$, 2010 prices","22014","Gross Domestic Product per capita","2013","2013","%","0.728063","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6119","Value US$","22014","Gross Domestic Product per capita","2017","2017","","4051.244377","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6107","Value US$, 2010 prices","22014","Gross Domestic Product per capita","2017","2017","","4806.918145","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6185","Value US$, 2015 prices","22014","Gross Domestic Product per capita","2017","2017","","4199.540887","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6171","Annual growth, US$, 2010 prices","22014","Gross Domestic Product per capita","2017","2017","%","-0.34756","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6109","Value Local Currency","22011","Gross National Income","2013","2013","millions","16349760","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","4","Algeria","6110","Value US$","22011","Gross National Income","2013","2013","millions","205998.357029","X","International reliable sources","Data from UNSD AMA"
