Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","3","Albania","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","109.930958","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","126.432473","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","108.38765","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7011","November","","125.455168","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","112.542708","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","3","Albania","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","127.619632","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","121.50642","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","141.840345","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","120.532878","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","139.658505","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","121.98974","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2017","2017","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","142.213191","X","International reliable sources","base year is rescaled to 2010"
"CP","Consumer Price Indices","4","Algeria","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7004","April","","120.80906","X","International reliable sources","base year is rescaled to 2010"
