country,food_supply_kcalcapitaday,protein_supply_gcapitaday,dom_supply_tons,pop_thousand,pop_growth,gdp_percapita_usd,gdp_growth,political_stability_index,euro_union,protein_animal_over_protein,dom_supply_poultry_tons,prod_poultry_tons,import_poultry_tons,protein_poultry_gcapitaday,net_import_poultry_tons,net_import_poultry_over_domsupply,import_poultry_over_domsupply,prod_poultry_over_domsupply,growth_net_import_poultry,growth_domsupply_poultry
Brazil,3262.0,3250.0,90.86999999999999,207833.823,3.3814411228179075,7272.45301975,-12.684769179787214,-0.41,Outside EU,1.6246153846153848,9982000.0,4223000.0,3000.0,15.68,-14198000.0,-142.23602484472048,0.030054097375275493,42.30615107192947,9.959727385377937,10.71428571428572
Belize,2746.0,2694.0,67.11000000000001,375.769,8.69328782378549,3472.2043347499994,1.980720074778275,0.05,Outside EU,0.943949517446177,19000.0,0.0,0.0,8.26,-20000.0,-105.26315789473684,0.0,0.0,25.0,18.75
Solomon Islands,2383.0,2410.0,53.64,636.039,11.32485962725962,1326.1023165000001,4.637952953240565,0.21,Outside EU,0.6580912863070539,3000.0,0.0,6000.0,1.51,6000.0,200.0,200.0,0.0,200.0,50.0
Bulgaria,2828.0,2827.0,83.19000000000003,7102.444,-2.5739606984168106,6081.4616595,13.863663877780441,0.37,EU,1.4732932437212596,157000.0,45000.0,108000.0,8.74,1000.0,0.6369426751592357,68.78980891719745,28.662420382165603,-108.33333333333333,3.9735099337748325
Myanmar,2574.0,2701.0,93.34999999999998,53382.523,2.9507852933827516,955.880621,17.38312702174556,-1.08,Outside EU,1.653091447611995,1666000.0,0.0,3000.0,9.93,-1659000.0,-99.57983193277312,0.18007202881152462,0.0,38.82845188284519,39.18128654970761
Cameroon,2669.0,2652.0,69.49,24566.072999999997,11.27302558003711,1090.115334,4.887014900561137,-1.08,Outside EU,0.42533936651583704,82000.0,0.0,0.0,1.07,-81000.0,-98.78048780487805,0.0,0.0,14.084507042253524,12.328767123287676
Canada,3499.0,3492.0,101.32999999999998,36732.095,4.067162073278152,35182.95014625,-2.4221225516316003,1.11,Outside EU,1.4596219931271481,1433000.0,163000.0,182000.0,13.86,-1235000.0,-86.18283321702721,12.70062805303559,11.37473831123517,20.13618677042801,11.08527131782946
Cabo Verde,2605.0,2512.0,69.33000000000001,537.498,5.031773450995414,2496.293768,0.1702404368131072,0.9,Outside EU,1.0238853503184713,10000.0,0.0,12000.0,6.52,11000.0,110.00000000000001,120.0,0.0,37.5,11.111111111111116
Central African Republic,1879.0,1754.0,46.4,4596.023,3.329156122469157,287.1669585,20.399882065814957,-1.94,Outside EU,1.1567844925883692,11000.0,0.0,4000.0,0.78,-3000.0,-27.27272727272727,36.36363636363637,0.0,-40.0,57.14285714285714
Sri Lanka,2537.0,2609.0,64.27000000000001,21128.032000000003,2.2503265007492113,3086.292467,16.83095908654235,-0.06,Outside EU,0.7175162897661942,192000.0,2000.0,0.0,2.64,-192000.0,-100.0,0.0,1.0416666666666665,79.43925233644859,82.85714285714285
