country,protein_poultry_gcapitaday,prod_poultry_over_domsupply,growth_import_poultry,growth_domsupply_poultry,import_poultry_over_domsupply,net_import_poultry_over_domsupply
Central African Republic,0.78,63.63636363636363,300.0,57.14285714285714,36.36363636363637,36.36363636363637
Sri Lanka,2.64,100.0,0.0,82.85714285714285,0.0,-1.0416666666666665
Chad,0.15,85.71428571428571,100.0,39.99999999999999,14.285714285714285,14.285714285714285
Chile,12.21,105.95238095238095,91.35802469135803,4.510108864696738,23.065476190476193,5.952380952380952
"China, mainland",3.96,100.41297285391772,-22.602739726027398,-0.6781514902925889,2.4888497329442214,-0.6827817851439899
Colombia,9.57,95.19172245891662,34.48275862068966,23.34834834834836,4.747413268411442,4.625684723067559
Congo,7.45,6.363636363636363,103.92156862745097,89.65517241379311,94.54545454545455,94.54545454545455
Costa Rica,7.93,99.25373134328358,112.5,12.605042016806722,12.686567164179104,10.44776119402985
Cuba,7.12,8.47953216374269,60.00000000000001,50.66079295154184,91.22807017543859,91.22807017543859
Cyprus,9.58,65.78947368421053,7.692307692307687,11.764705882352944,36.84210526315789,34.21052631578947
Azerbaijan,4.45,80.62015503875969,440.00000000000006,30.303030303030297,20.930232558139537,20.930232558139537
Benin,4.98,11.180124223602485,-33.513513513513516,-20.68965517241379,76.3975155279503,76.3975155279503
Denmark,12.97,103.59281437125749,31.68316831683169,10.596026490066235,79.64071856287424,-3.592814371257485
Dominica,11.52,0.0,0.0,0.0,100.0,100.0
Dominican Republic,10.88,90.4,75.0,30.662020905923338,11.200000000000001,9.6
Belarus,9.41,174.7169811320755,31.25,-9.55631399317406,7.9245283018867925,-49.43396226415094
Ecuador,6.15,99.70674486803519,-100.0,-0.8720930232558155,0.0,0.0
Egypt,4.51,89.44,-12.0,5.57432432432432,8.799999999999999,8.72
El Salvador,6.25,103.81679389312977,-5.882352941176472,3.9682539682539764,12.213740458015266,10.687022900763358
Estonia,7.27,68.96551724137932,5.000000000000004,7.407407407407418,72.41379310344827,34.48275862068966
Fiji,9.44,88.46153846153845,200.0,36.8421052631579,11.538461538461538,11.538461538461538
Finland,7.87,116.21621621621621,0.0,-2.631578947368418,14.414414414414415,3.6036036036036037
France,8.95,111.25238397965671,19.621749408983447,1.7464424320827954,32.16783216783217,0.3178639542275906
French Polynesia,16.2,6.666666666666667,-6.25,-6.25,100.0,100.0
Djibouti,0.92,0.0,50.0,50.0,100.0,100.0
Georgia,5.19,36.0655737704918,18.60465116279071,15.094339622641506,83.60655737704919,75.40983606557377
Gabon,10.59,5.128205128205128,8.571428571428562,5.405405405405395,97.43589743589743,97.43589743589743
Gambia,1.24,25.0,300.0,60.00000000000001,200.0,200.0
Germany,7.96,87.0615296147211,6.852791878172582,10.834926704907577,48.4186313973548,11.270845313398505
Bosnia and Herzegovina,5.66,110.9090909090909,-28.57142857142857,7.843137254901955,18.181818181818183,3.6363636363636362
Ghana,2.26,28.436018957345972,-12.71676300578035,-5.803571428571431,71.56398104265402,71.56398104265402
Kiribati,6.65,50.0,0.0,0.0,50.0,50.0
Greece,6.32,138.20224719101125,8.219178082191792,-3.7837837837837784,44.38202247191011,28.08988764044944
Grenada,15.5,12.5,0.0,14.28571428571428,87.5,87.5
Guatemala,6.11,65.82633053221288,44.9438202247191,30.2919708029197,36.134453781512605,34.173669467787114
Guinea,1.42,26.0,184.6153846153846,138.0952380952381,74.0,74.0
Guyana,12.33,96.875,-100.0,3.2258064516129004,0.0,0.0
Haiti,2.75,9.183673469387756,27.142857142857135,25.64102564102564,90.81632653061224,90.81632653061224
Honduras,6.98,94.14634146341463,-29.411764705882348,25.0,5.853658536585367,5.365853658536586
"China, Hong Kong SAR",22.26,8.571428571428571,-23.524451939291737,-37.639198218262806,323.92857142857144,87.14285714285714
Hungary,9.8,185.33834586466165,3.571428571428581,3.100775193798455,21.804511278195488,-57.14285714285714
Croatia,4.06,135.55555555555557,33.33333333333333,21.62162162162162,53.333333333333336,15.555555555555555
Iceland,12.33,100.0,100.0,11.111111111111116,20.0,20.0
India,0.75,96.83146681234635,0.0,55.654761904761905,0.0,-0.10925976509150505
Indonesia,2.42,99.05294877313818,0.0,23.959445037353255,0.04304778303917348,0.04304778303917348
Iran (Islamic Republic of),9.8,97.92792792792793,-64.70588235294117,13.32312404287903,0.2702702702702703,-1.7567567567567568
Iraq,5.37,16.96113074204947,13.801452784503642,12.974051896207595,83.03886925795054,83.03886925795054
Ireland,11.6,85.9375,23.750000000000004,-1.538461538461533,77.34375,4.6875
Israel,27.87,98.89937106918238,0.0,21.37404580152671,0.0,-0.4716981132075472
