country,pop_growth,gdp_percapita_usd,political_stability_index,food_supply_kcalcapitaday,protein_supply_gcapitaday,protein_animal_over_protein,protein_poultry_gcapitaday,prod_poultry_over_domsupply,net_import_poultry_over_domsupply,import_poultry_over_domsupply,growth_import_poultry,growth_domsupply_poultry
Dominican Republic,4.62640591897161,5307.4390244999995,0.16,2856.0,66.86,51.346096320670064,10.88,90.4,9.6,11.200000000000001,75.0,30.662020905923338
Belarus,0.2835993312892304,4538.334781,0.03,3289.0,94.08000000000004,54.1985544217687,9.41,174.7169811320755,-49.43396226415094,7.9245283018867925,31.25,-9.55631399317406
Ecuador,6.862255509701964,4395.8690625,-0.1,2585.0,65.77000000000002,45.52227459327959,6.15,99.70674486803519,0.0,0.0,-100.0,-0.8720930232558155
Egypt,9.09222010797941,2068.5873269999997,-1.42,3315.0,96.27000000000001,24.981821959073436,4.51,89.44,8.72,8.799999999999999,-12.0,5.57432432432432
El Salvador,1.947887591424946,2776.9457085000004,-0.25,2660.0,74.69999999999999,34.75234270414994,6.25,103.81679389312977,10.687022900763358,12.213740458015266,-5.882352941176472,3.9682539682539764
Estonia,0.02486615488885846,14672.123636,0.66,3241.0,107.29,57.31195824401155,7.27,68.96551724137932,34.48275862068966,72.41379310344827,5.000000000000004,7.407407407407418
Fiji,1.3690954797090482,3951.24648775,0.79,2941.0,73.88000000000001,42.244179750947474,9.44,88.46153846153845,11.538461538461538,11.538461538461538,200.0,36.8421052631579
Finland,1.3309292069729306,34572.45689,1.07,3337.0,117.77000000000008,62.443746285132015,7.87,116.21621621621621,3.6036036036036037,14.414414414414415,0.0,-2.631578947368418
France,1.485258482764884,29706.014505000003,0.21,3556.0,112.07999999999997,62.15203426124197,8.95,111.25238397965671,0.3178639542275906,32.16783216783217,19.621749408983447,1.7464424320827954
French Polynesia,2.1359237666834563,15391.470718999997,0.21,2917.0,97.51000000000005,66.28038149933337,16.2,6.666666666666667,100.0,100.0,-6.25,-6.25
Djibouti,6.884012439813292,1853.3579610000002,-0.71,2677.0,66.43,19.32861658889056,0.92,0.0,100.0,100.0,50.0,50.0
Georgia,-0.9876007144019705,3087.8784335,-0.37,2871.0,76.89,36.88386005982572,5.19,36.0655737704918,75.40983606557377,83.60655737704919,18.60465116279071,15.094339622641506
Gabon,13.634690113925085,6023.52842325,-0.09,2640.0,79.31000000000002,48.90934308410037,10.59,5.128205128205128,97.43589743589743,97.43589743589743,8.571428571428562,5.405405405405395
Gambia,12.740004644265547,555.08309775,-0.21,2542.0,63.48000000000001,26.11846250787649,1.24,25.0,200.0,200.0,300.0,60.00000000000001
Germany,1.8282150571004685,33703.072725,0.58,3559.0,104.07000000000001,60.61304890938792,7.96,87.0615296147211,11.270845313398505,48.4186313973548,6.852791878172582,10.834926704907577
Bosnia and Herzegovina,-5.393797673238277,3909.64476325,-0.38,3266.0,94.58,36.73080989638402,5.66,110.9090909090909,3.6363636363636362,18.181818181818183,-28.57142857142857,7.843137254901955
Ghana,9.44773579172451,1570.94097175,0.09,3034.0,62.95,24.368546465448762,2.26,28.436018957345972,71.56398104265402,71.56398104265402,-12.71676300578035,-5.803571428571431
Kiribati,5.809620910186286,1207.114959,0.9,3056.0,73.89999999999999,49.9188092016238,6.65,50.0,50.0,50.0,0.0,0.0
Greece,-1.5925701782970925,14577.010321500002,-0.13,3353.0,105.13000000000002,53.99980975934556,6.32,138.20224719101125,28.08988764044944,44.38202247191011,8.219178082191792,-3.7837837837837784
Grenada,2.499768882314868,7384.9560405,1.03,2404.0,70.57000000000002,60.6490009919229,15.5,12.5,87.5,87.5,0.0,14.28571428571428
Guatemala,8.458383966571548,2897.4970372499997,-0.57,2551.0,69.83000000000001,30.789059143634535,6.11,65.82633053221288,34.173669467787114,36.134453781512605,44.9438202247191,30.2919708029197
Guinea,10.784189250585952,615.12419,-0.61,2793.0,61.77999999999998,18.43638718031726,1.42,26.0,74.0,74.0,184.6153846153846,138.0952380952381
Guyana,2.0989483527265707,3176.69378875,-0.04,2882.0,87.58,44.42795158712034,12.33,96.875,0.0,0.0,-100.0,3.2258064516129004
Haiti,5.5928196967985455,573.788176,-0.7,2163.0,49.91,19.97595672209978,2.75,9.183673469387756,90.81632653061224,90.81632653061224,27.142857142857135,25.64102564102564
Honduras,7.165886175642466,1793.04050425,-0.55,2552.0,64.03999999999999,34.790755777638985,6.98,94.14634146341463,5.365853658536586,5.853658536585367,-29.411764705882348,25.0
"China, Hong Kong SAR",3.0688505127399734,32259.764029750004,0.85,3353.0,137.88,73.33188279663476,22.26,8.571428571428571,87.14285714285714,323.92857142857144,-23.524451939291737,-37.639198218262806
Hungary,-1.0585805888453703,11005.28397825,0.81,3289.0,87.76000000000003,56.75706472196899,9.8,185.33834586466165,-57.14285714285714,21.804511278195488,3.571428571428581,3.100775193798455
Croatia,-2.1919525753881897,10230.452633750001,0.75,3079.0,90.18000000000005,59.63628298957635,4.06,135.55555555555557,15.555555555555555,53.333333333333336,33.33333333333333,21.62162162162162
Iceland,2.2024102424607284,45814.4612625,1.37,3629.0,141.34,71.38814206877035,12.33,100.0,20.0,20.0,100.0,11.111111111111116
India,4.515362109908727,1444.5187270000001,-0.83,2515.0,65.69999999999999,22.40487062404871,0.75,96.83146681234635,-0.10925976509150505,0.0,0.0,55.654761904761905
Indonesia,5.101423855216836,2894.90398875,-0.51,2894.0,68.63,32.31822818009616,2.42,99.05294877313818,0.04304778303917348,0.04304778303917348,0.0,23.959445037353255
Iran (Islamic Republic of),5.480929025865344,4588.32512175,-0.93,3116.0,87.59000000000003,28.861742208014608,9.8,97.92792792792793,-1.7567567567567568,0.2702702702702703,-64.70588235294117,13.32312404287903
Iraq,13.257304253544877,3815.7305802499995,-2.33,2505.0,60.54,22.38189626693096,5.37,16.96113074204947,83.03886925795054,83.03886925795054,13.801452784503642,12.974051896207595
Ireland,2.9868774729591374,53611.72163774999,1.02,3714.0,105.80999999999999,57.121255079860134,11.6,85.9375,4.6875,77.34375,23.750000000000004,-1.538461538461533
Israel,6.580704115314084,29340.749925000004,-0.88,3507.0,122.62000000000003,59.174686021856125,27.87,98.89937106918238,-0.4716981132075472,0.0,0.0,21.37404580152671
Italy,0.8424425883829967,25151.612986,0.24,3522.0,106.68999999999998,53.453931952385425,7.83,112.10571184995737,-7.331628303495311,8.269394714407502,11.494252873563227,1.9113814074717572
Côte d'Ivoire,10.639346120774906,1196.5055527499999,-1.09,2726.0,59.109999999999985,23.17712738961259,0.86,89.23076923076924,10.76923076923077,10.76923076923077,600.0,32.65306122448979
Kazakhstan,6.189914000943375,7679.96536725,0.02,3195.0,94.97000000000004,57.913025165841816,6.18,51.66163141993958,50.755287009063444,52.567975830815705,1.7543859649122862,8.881578947368428
Jamaica,2.1735662774004405,3746.710009,0.25,2754.0,72.83000000000003,49.388988054373186,15.71,84.21052631578947,19.736842105263158,20.394736842105264,-27.906976744186053,4.109589041095885
Japan,-0.6324085967261861,30433.607496750003,1.12,2699.0,86.51999999999998,55.536292186777615,7.24,91.7184265010352,43.850931677018636,44.26501035196687,1.2310606060605966,-3.6312849162011163
Jordan,14.871023923865101,2878.85090625,-0.53,2716.0,69.08,34.916039374638096,10.1,76.36363636363637,19.636363636363637,23.272727272727273,-23.809523809523814,13.168724279835399
