country,food_supply_kcalcapitaday,protein_supply_gcapitaday,pop_thousand,pop_growth,gdp_percapita_usd,gdp_growth,political_stability_index,euro_union,protein_animal_over_protein,dom_supply_poultry_tons,export_poultry_tons,import_poultry_tons,prod_poultry_tons,protein_poultry_gcapitaday,net_import_poultry_tons,net_import_poultry_over_domsupply,import_poultry_over_domsupply,prod_poultry_over_domsupply,growth_import_poultry,growth_domsupply_poultry,import_french_chicken_tons,cluster,producer
Iraq,2505.0,60.54,37552.781,13.257304253544874,3815.73058025,-10.453048557119446,-2.33,Outside EU,22.381896266930962,566000.0,0.0,470000.0,96000.0,5.37,470000.0,83.03886925795054,83.03886925795054,16.96113074204947,13.801452784503644,12.974051896207595,605.0,10,insufficient production
Ireland,3714.0,105.81,4753.279,2.9868774729591374,53611.72163774999,46.42659132757521,1.02,EU,57.121255079860134,128000.0,93000.0,99000.0,110000.0,11.6,6000.0,4.6875,77.34375,85.9375,23.750000000000004,-1.5384615384615332,448.0,5,insufficient production
Israel,3507.0,122.62000000000003,8243.848,6.580704115314084,29340.749925000004,9.666554357361411,-0.88,Outside EU,59.17468602185614,636000.0,3000.0,0.0,629000.0,27.87,-3000.0,-0.4716981132075472,0.0,98.89937106918238,0.0,21.374045801526712,0.0,4,insufficient production
Italy,3522.0,106.68999999999998,60673.701,0.8424425883829967,25151.612986,-0.02002294416140193,0.24,EU,53.453931952385425,1173000.0,183000.0,97000.0,1315000.0,7.83,-86000.0,-7.331628303495312,8.269394714407502,112.10571184995734,11.494252873563228,1.9113814074717568,7282.0,5,surplus production
Côte d'Ivoire,2726.0,59.10999999999999,24437.47,10.639346120774906,1196.50555275,19.364389982335716,-1.09,Outside EU,23.17712738961259,65000.0,0.0,7000.0,58000.0,0.86,7000.0,10.769230769230768,10.769230769230768,89.23076923076924,600.0,32.65306122448979,794.0,11,insufficient production
Kazakhstan,3195.0,94.97000000000004,18080.019,6.189914000943375,7679.96536725,-10.496493630731797,0.02,Outside EU,57.913025165841816,331000.0,6000.0,174000.0,171000.0,6.18,168000.0,50.75528700906344,52.567975830815705,51.661631419939575,1.7543859649122862,8.881578947368428,702.0,6,insufficient production
Jamaica,2754.0,72.83000000000003,2920.848,2.1735662774004405,3746.7100090000004,2.526419531707025,0.25,Outside EU,49.388988054373186,152000.0,1000.0,31000.0,128000.0,15.71,30000.0,19.736842105263158,20.394736842105264,84.21052631578947,-27.90697674418605,4.109589041095885,0.0,6,insufficient production
Japan,2699.0,86.51999999999998,127502.725,-0.6324085967261861,30433.607496750006,1.6240808231903658,1.12,Outside EU,55.53629218677762,2415000.0,10000.0,1069000.0,2215000.0,7.24,1059000.0,43.85093167701864,44.265010351966865,91.7184265010352,1.2310606060605966,-3.631284916201116,124.0,5,insufficient production
Jordan,2716.0,69.08,9785.843,14.8710239238651,2878.85090625,-0.9767131912812532,-0.53,Outside EU,34.916039374638096,275000.0,10000.0,64000.0,210000.0,10.1,54000.0,19.63636363636364,23.272727272727273,76.36363636363637,-23.809523809523807,13.1687242798354,1355.0,9,insufficient production
Kyrgyzstan,2796.0,85.28,6189.733,7.998704657562162,895.63698475,6.07192683539033,-0.43,Outside EU,40.478424015009374,32000.0,0.0,25000.0,7000.0,1.08,25000.0,78.125,78.125,21.875,-50.98039215686275,-43.85964912280703,0.0,9,insufficient production
Kenya,2125.0,60.86999999999998,50221.142,10.327686648199608,1046.55175925,17.509704050250253,-1.08,Outside EU,25.266962378840145,35000.0,0.0,0.0,35000.0,0.23,0.0,0.0,0.0,100.0,0.0,66.66666666666667,16.0,13,surplus production
