country,pop_growth,gdp_percapita_usd,political_stability_index,food_supply_kcalcapitaday,protein_supply_gcapitaday,protein_animal_over_protein,import_poultry_over_domsupply
Belarus,0.2835993312892304,4538.334781,0.03,3289.0,94.08000000000004,54.1985544217687,7.9245283018867925
Ecuador,6.862255509701964,4395.8690625,-0.1,2585.0,65.77000000000002,45.52227459327959,0.0
Egypt,9.09222010797941,2068.5873269999997,-1.42,3315.0,96.27000000000001,24.981821959073436,8.799999999999999
El Salvador,1.947887591424946,2776.9457085000004,-0.25,2660.0,74.69999999999999,34.75234270414994,12.213740458015266
Estonia,0.02486615488885846,14672.123636,0.66,3241.0,107.29,57.31195824401155,72.41379310344827
Fiji,1.3690954797090482,3951.24648775,0.79,2941.0,73.88000000000001,42.244179750947474,11.538461538461538
Finland,1.3309292069729306,34572.45689,1.07,3337.0,117.77000000000008,62.443746285132015,14.414414414414415
France,1.485258482764884,29706.014505000003,0.21,3556.0,112.07999999999997,62.15203426124197,32.16783216783217
French Polynesia,2.1359237666834563,15391.470718999997,0.21,2917.0,97.51000000000005,66.28038149933337,100.0
Djibouti,6.884012439813292,1853.3579610000002,-0.71,2677.0,66.43,19.32861658889056,100.0
Georgia,-0.9876007144019705,3087.8784335,-0.37,2871.0,76.89,36.88386005982572,83.60655737704919
Gabon,13.634690113925085,6023.52842325,-0.09,2640.0,79.31000000000002,48.90934308410037,97.43589743589743
Gambia,12.740004644265547,555.08309775,-0.21,2542.0,63.48000000000001,26.11846250787649,200.0
Germany,1.8282150571004685,33703.072725,0.58,3559.0,104.07000000000001,60.61304890938792,48.4186313973548
Bosnia and Herzegovina,-5.393797673238277,3909.64476325,-0.38,3266.0,94.58,36.73080989638402,18.181818181818183
Ghana,9.44773579172451,1570.94097175,0.09,3034.0,62.95,24.368546465448762,71.56398104265402
Kiribati,5.809620910186286,1207.114959,0.9,3056.0,73.89999999999999,49.9188092016238,50.0
Greece,-1.5925701782970925,14577.010321500002,-0.13,3353.0,105.13000000000002,53.99980975934556,44.38202247191011
Grenada,2.499768882314868,7384.9560405,1.03,2404.0,70.57000000000002,60.6490009919229,87.5
Guatemala,8.458383966571548,2897.4970372499997,-0.57,2551.0,69.83000000000001,30.789059143634535,36.134453781512605
Guinea,10.784189250585952,615.12419,-0.61,2793.0,61.77999999999998,18.43638718031726,74.0
Guyana,2.0989483527265707,3176.69378875,-0.04,2882.0,87.58,44.42795158712034,0.0
Haiti,5.5928196967985455,573.788176,-0.7,2163.0,49.91,19.97595672209978,90.81632653061224
Honduras,7.165886175642466,1793.04050425,-0.55,2552.0,64.03999999999999,34.790755777638985,5.853658536585367
"China, Hong Kong SAR",3.0688505127399734,32259.764029750004,0.85,3353.0,137.88,73.33188279663476,323.92857142857144
Hungary,-1.0585805888453703,11005.28397825,0.81,3289.0,87.76000000000003,56.75706472196899,21.804511278195488
Croatia,-2.1919525753881897,10230.452633750001,0.75,3079.0,90.18000000000005,59.63628298957635,53.333333333333336
Iceland,2.2024102424607284,45814.4612625,1.37,3629.0,141.34,71.38814206877035,20.0
India,4.515362109908727,1444.5187270000001,-0.83,2515.0,65.69999999999999,22.40487062404871,0.0
Indonesia,5.101423855216836,2894.90398875,-0.51,2894.0,68.63,32.31822818009616,0.04304778303917348
Iran (Islamic Republic of),5.480929025865344,4588.32512175,-0.93,3116.0,87.59000000000003,28.861742208014608,0.2702702702702703
