country,food_supply_kcalcapitaday,pop_growth,protein_supply_gcapitaday,protein_animal_over_protein,pop_thousand,euro_union
Estonia,3248.0,0.02486615488885846,3241.0,1.8972539339709966,1319.39,EU
Fiji,2943.0,1.3690954797090482,2941.0,1.0612036722203333,877.459,Outside EU
Finland,3366.0,1.3309292069729306,3337.0,2.203775846568775,5511.371,EU
France,3482.0,1.485258482764884,3556.0,1.9589426321709786,64842.509000000005,EU
French Polynesia,2923.0,2.1359237666834563,2917.0,2.2156324991429552,276.10200000000003,Outside EU
Djibouti,2609.0,6.884012439813292,2677.0,0.47964138961524094,944.0989999999999,Outside EU
Georgia,2902.0,-0.9876007144019705,2871.0,0.9878091257401603,4008.716,Outside EU
Gabon,2826.0,13.634690113925085,2640.0,1.469318181818182,2064.823,Outside EU
Gambia,2621.0,12.740004644265547,2542.0,0.6522423288749016,2213.889,Outside EU
Germany,3503.0,1.8282150571004685,3559.0,1.7724079797695986,82658.409,EU
Bosnia and Herzegovina,3156.0,-5.393797673238277,3266.0,1.0636864666258419,3351.525,Outside EU
Ghana,3014.0,9.44773579172451,3034.0,0.5056031641397496,29121.465,Outside EU
Kiribati,3042.0,5.809620910186286,3056.0,1.2071335078534027,114.15799999999999,Outside EU
Greece,3394.0,-1.5925701782970925,3353.0,1.6931106471816288,10569.45,EU
Grenada,2442.0,2.499768882314868,2404.0,1.7803660565723796,110.874,Outside EU
Guatemala,2416.0,8.458383966571548,2551.0,0.8428067424539396,16914.97,Outside EU
Guinea,2567.0,10.784189250585952,2793.0,0.4078052273540996,12067.518999999998,Outside EU
Guyana,2762.0,2.0989483527265707,2882.0,1.350104094378903,775.222,Outside EU
Haiti,2089.0,5.5928196967985455,2163.0,0.46093388811835423,10982.366000000002,Outside EU
Honduras,2639.0,7.165886175642466,2552.0,0.873040752351097,9429.013,Outside EU
"China, Hong Kong SAR",3286.0,3.0688505127399734,3353.0,3.0155084998508794,7306.321999999999,Outside EU
Hungary,3034.0,-1.0585805888453703,3289.0,1.5144420796594709,9729.823,EU
Croatia,3056.0,-2.1919525753881897,3079.0,1.7466709970769725,4182.857,EU
Iceland,3381.0,2.2024102424607284,3629.0,2.780380270046845,334.39300000000003,Outside EU
India,2454.0,4.515362109908727,2515.0,0.5852882703777336,1338676.785,Outside EU
Indonesia,2776.0,5.101423855216836,2894.0,0.7664132688320663,264650.963,Outside EU
Iran (Islamic Republic of),3089.0,5.480929025865344,3116.0,0.811296534017972,80673.883,Outside EU
